param                                 mean       std       2.5q       25q       50q       75q      97.5q    mc_err
v_subj(HC.neutral).77             0.951339  0.905426   0.053632  0.340334  0.555911  1.375542   3.383137  0.047795
v_subj(HC.neutral).78             1.496227  1.181819   0.032612  0.561425   1.21332  2.247013   4.291271  0.051472
v_subj(HC.neutral).79             2.245862   0.33368   1.675022  2.004183   2.21497  2.449887   2.976579  0.012629
v_subj(HC.neutral).80             1.105944  0.901746   0.295822  0.553176  0.737272  1.285554   3.593943  0.052205
v_subj(HC.neutral).81             0.928539  0.689788   0.284796  0.543289  0.708625  0.995972   3.141421  0.036984
v_subj(HC.neutral).82             1.561053  0.417767   0.953585  1.290233   1.49468  1.731905   2.623917  0.016694
v_subj(HC.neutral).83             1.767617  0.254552   1.274827  1.587331  1.765741  1.931561   2.276366  0.006985
v_subj(HC.neutral).85             1.899032   0.82964   0.408625  1.300499  1.925574  2.448572   3.602075  0.041635
v_subj(HC.neutral).86             0.806564  0.661398   0.011495  0.393455  0.584787  1.010424   2.653314  0.029835
v_subj(HC.neutral).88             3.463265  0.799569   2.211032  2.876065  3.359006  3.947316    5.30861  0.044979
v_subj(HC.neutral).89             2.656649  0.835792   1.281209  2.045046  2.566262  3.184399   4.499281  0.043868
v_subj(HC.neutral).90             2.792272  0.677574    1.69974  2.316325  2.706227   3.17489    4.37662  0.032193
v_subj(HC.neutral).91             2.724365   0.31857   2.126124  2.508937  2.709034  2.922331   3.397684  0.008763
v_subj(HC.neutral).93              0.34958  0.848163  -0.943587 -0.153737  0.069287  0.753287   2.494582  0.032695
v_subj(HC.neutral).94             0.875495  0.429738   0.438564  0.639623   0.77254  0.956808    2.18372   0.03118
v_subj(HC.neutral).95             2.439668  0.270663    1.91086  2.263334  2.432253  2.604175   2.994378  0.006913
v_subj(HC.neutral).97             2.699212  0.778683   1.449932  2.153371  2.614493  3.150729   4.426642   0.04144
v_subj(HC.neutral).99             0.900098  1.138656  -0.752172    0.1122   0.59608  1.548688   3.715472  0.042224
v_subj(HC.neutral).100            1.029951  1.013394  -0.449734  0.124099   1.00964  1.763087   3.158813  0.039132
v_subj(HC.neutral).101            2.892865  0.495634    2.07686  2.504759  2.851927  3.242452   3.957191  0.025855
v_subj(HC.neutral).105            0.661912  0.943226  -0.641111 -0.020846  0.373598  1.258582   2.933575  0.038605
v_subj(HC.neutral).106            1.786162  0.681656   0.914521  1.325674  1.613486  2.084179   3.601034  0.037576
v_subj(HC.neutral).107            3.449736  0.375172   2.737102  3.196278  3.428313  3.693811   4.234317  0.011343
v_subj(HC.neutral).108            1.280545  0.183632   0.939729     1.162  1.277578  1.397216   1.653207   0.00421
v_subj(HC.neutral).109            0.762109  0.804307  -0.249853  0.236455  0.447524  1.183576   2.748935  0.029124
v_subj(HC.neutral).110             4.19727  0.398817   3.391048  3.935622  4.191848  4.455458   5.004096  0.010513
v_subj(HC.neutral).112            2.630867  1.032422   0.844839  1.851031  2.607988  3.337814   4.696108   0.05128
v_subj(HC.neutral).113            2.735492  0.509505   1.837584  2.373956  2.697678   3.05395   3.843633  0.024411
v_subj(HC.neutral).114            1.749234  0.846759   0.463047  1.091773  1.665721  2.309212   3.565601  0.048983
v_subj(HC.neutral).115             4.38247  0.648077   3.225621  3.943569  4.337635  4.788497   5.782756   0.02535
v_subj(HC.neutral).116            1.998162  1.147187   0.370198  0.989708  1.908995  2.798723   4.500551  0.079038
v_subj(HC.neutral).118            1.773906  0.194806   1.412446  1.645056  1.759491  1.906795   2.181405  0.005049
v_subj(HC.neutral).120            1.437898  0.247179   1.023209  1.264088  1.410347  1.588789   1.978674  0.008867
v_subj(HC.neutral).121            3.330448  0.336362   2.703617  3.104118  3.310877  3.543089   4.081472  0.011339
v_subj(HC.neutral).123            1.972254  0.970231   0.527552  1.245123  1.843315  2.589278   4.160123  0.040063
v_subj(HC.neutral).124            1.800491  0.773083   0.674727  1.245921  1.663137  2.212002   3.686117  0.042949
v_subj(HC.neutral).125            4.057262  0.691712   2.810004  3.545899  4.035875  4.508695   5.495948  0.034026
v_subj(HC.neutral).128            3.700334  0.368593   2.995813  3.446324  3.692073  3.953137   4.447731   0.01083
v_subj(HC.neutral).129            1.155779  0.500139   0.578878  0.834823   1.00931  1.324554   2.537095  0.034579
v_subj(HC.neutral).130            0.461419  0.818308  -0.733694  -0.04822  0.235723  0.863572   2.533657  0.026962
v_subj(HC.neutral).131            0.563554  0.992274  -0.788845  -0.13068  0.301514  1.063081   2.956968   0.03286
v_subj(HC.neutral).132            1.409485  0.535154   0.820203   1.08046  1.261497  1.539619    2.89916  0.035156
v_subj(HC.neutral).134            1.817918  0.615846   0.777316  1.359362  1.789954  2.224841   3.171843  0.024671
v_subj(HC.neutral).135            2.202735  0.273835   1.689586  2.015741   2.19368  2.376835   2.780191  0.007194
v_subj(HC.neutral).136            1.609961  0.661198   0.809855  1.168773  1.423321   1.82487   3.434139  0.038322
v_subj(HC.neutral).137            0.981384  0.459437   0.514126  0.725139  0.850053  1.053011   2.293155  0.031718
v_subj(HC.neutral).138            4.901295  0.837352    3.30605  4.335979  4.857437  5.445671   6.646149   0.04341
v_subj(HC.neutral).139            2.132786   0.73625   1.010171  1.596207  2.031313  2.557807   3.785005  0.038731
v_subj(HC.neutral).140            0.724551  0.355986   0.297253  0.541527   0.67709  0.822786   1.843803  0.013242
v_subj(HC.neutral).141            1.710218  1.398053  -0.048252  0.332082  1.601858  2.778554   4.670298  0.078383
v_subj(HC.neutral).143            1.919899  0.996844    0.51239  1.112942  1.764417  2.558727   4.156826  0.049188
v_subj(HC.neutral).144            2.108096  1.047326   0.229712   1.39548  2.023681   2.74975   4.383182  0.053762
v_subj(HC.neutral).146            2.636545  0.363019   1.978682  2.386374  2.620891  2.873134   3.390672  0.011116
v_subj(HC.neutral).147            1.887916   0.25713   1.411233  1.716312  1.874816  2.043637   2.439742  0.007632
v_subj(HC.neutral).148            5.945479  0.755828   4.517255  5.416478  5.940067  6.456344   7.455706  0.022356
v_subj(HC.neutral).149            2.198784  0.712117   1.149448  1.733742  2.065015  2.549487   3.952992  0.032843
v_subj(HC.neutral).150            1.279581  1.157327  -0.278489  0.301405  1.137712  2.035367   3.854913  0.050659
v_subj(HC.neutral).151            1.006727  1.064915  -0.428122  0.125254  0.797736  1.703596   3.453268  0.046058
v_subj(HC.neutral).152             3.38925  0.631537   2.289681  2.947227  3.339955   3.78256   4.741161  0.026398
v_subj(HC.neutral).154            0.712764  0.656282   0.075291  0.366118   0.52479  0.744492   2.784138  0.032476
v_subj(HC.neutral).155            1.623205  0.232976   1.232561  1.470492  1.604037  1.748105   2.137719  0.009254
v_subj(HC.neutral).156            2.234414  0.737696   0.996894  1.700167  2.157079  2.700041   3.826477  0.033718
v_subj(HC.neutral).158            3.192417  0.438321    2.48865  2.901611  3.141766  3.417462   4.248874   0.02025
v_subj(HC.neutral).159            2.627161  0.336277   2.031541   2.38862  2.608522  2.840365   3.379647  0.011912
v_subj(HC.neutral).160            1.677708  1.009631   0.421249  0.853143   1.42067  2.341567   4.106793     0.065
v_subj(HC.neutral).163            4.163182  0.687363   2.941174   3.68427  4.145253  4.586379   5.636035  0.033323
v_subj(HC.neutral).165            1.586825  0.264276   1.064096  1.409229  1.581341  1.766132   2.104279  0.005936
v_subj(HC.neutral).167            1.859844   0.53148   1.033497  1.477232  1.794806   2.16053   3.083077  0.027881
v_subj(HC.neutral).168            1.242616  0.759777   0.463336  0.802079  1.002013  1.348548   3.636393   0.04853
v_subj(HC.neutral).169            1.168471  0.160283   0.856782  1.053676  1.168477  1.278355   1.481199  0.003797
v_subj(HC.neutral).170            1.594244  0.529537   0.982131   1.27372  1.466666  1.736159   3.208745  0.031765
v_subj(HC.neutral).171            2.895033  0.643222   1.784191  2.418195  2.842167  3.332067   4.254174  0.031994
v_subj(HC.neutral).172            3.086389  0.374153   2.454069  2.836175  3.047941  3.298565   3.926765  0.013115
v_subj(HC.neutral).173            0.999779  0.390772   0.463561  0.737376  0.929086  1.171969   1.948952  0.017131
v_subj(HC.neutral).174            1.694454  0.377821    1.11474  1.460726   1.65598  1.870045   2.539771  0.016236
v_subj(HC.neutral).175            2.557668  1.217676   0.530999  1.609781  2.527416  3.404947   4.984306  0.064438
v_subj(HC.neutral).180            3.232443  1.171456   0.765014  2.445737  3.291504  4.043411   5.396747  0.055844
v_subj(HC.neutral).181            1.719873  0.606759   0.768094  1.292423  1.626199  2.034763    3.11462  0.025832
v_subj(HC.neutral).182            3.410456  0.405043   2.684675  3.117749  3.397233  3.663369   4.265275  0.015509
v_subj(HC.neutral).183             1.14476  1.083229  -0.181079  0.368836  0.768814  1.796123    3.83706  0.043063
v_subj(HC.neutral).184            0.975743   0.66548   0.262029  0.581892  0.767829  1.098563   2.943835  0.032023
v_subj(HC.neutral).185            1.898457  0.713382   0.821857  1.384535  1.787734  2.261989   3.659472  0.036094
v_subj(HC.neutral).186             1.90447  0.589607   1.010428  1.508614  1.793303  2.192062    3.43698  0.031803
v_subj(HC.neutral).187             1.13254  0.716272   0.478028  0.732613  0.896863  1.212531   3.318382  0.053161
v_subj(HC.neutral).188            2.432489  0.961596   0.738387  1.741455  2.335019  3.063218     4.4708  0.047389
v_subj(HC.neutral).189            2.160228  0.237274   1.704976  2.000473  2.159627  2.316658   2.652679  0.006282
v_subj(HC.neutral).190            0.401703  0.839174   -0.87194 -0.103363  0.183656  0.787504   2.522448  0.026431
v_subj(HC.neutral).191            1.883863  1.020159   0.125009  1.091419  1.959052  2.614647   3.753496  0.044993
v_subj(HC.neutral).192            1.835934   0.67761   0.840113  1.355239    1.7219  2.208018   3.480233  0.034764
v_subj(HC.neutral).194            1.967736   0.37672   1.431748  1.733078  1.898213  2.128644   2.873484  0.019671
v_subj(HC.neutral).195            1.165304  0.217079   0.798122  1.021074  1.147708  1.277113   1.637341  0.007948
v_subj(HC.neutral).196            1.892602  0.247363   1.425342  1.726549  1.881426  2.052341   2.393771  0.007692
v_subj(HC.neutral).197            2.119046  0.226654   1.718354  1.965035  2.111476  2.255978   2.605822  0.007483
v_subj(HC.neutral).198            2.420661  0.689745   1.385911  1.923051  2.303112  2.793799   4.142087  0.033061
v_subj(HC.neutral).199            3.291435  0.329369   2.669299   3.07453  3.293542  3.508572   3.949767  0.008992
v_subj(HC.neutral).201            2.330455    0.4061   1.662722  2.060893   2.29337  2.551535   3.290864   0.01462
v_subj(HC.neutral).202            2.311567   0.55817   1.428528  1.914709  2.239384  2.631826   3.617318  0.023667
v_subj(HC.neutral).203             1.03997   0.93273  -0.267941  0.288409   0.87774  1.637092   3.218659  0.035485
v_subj(HC.neutral).204            2.669657  0.236889   2.216397  2.507596  2.662059  2.831909   3.142379  0.006104
v_subj(HC.neutral).205            0.740526  0.625674   0.146136  0.423675  0.571039  0.755956   2.817471  0.034365
v_subj(HC.neutral).206            3.366529  0.553591   2.350058  2.974275  3.368835  3.721716   4.484833  0.026994
v_subj(HC.neutral).207            1.370371  0.539381    0.71526  1.036242  1.250065   1.53892   2.861857  0.029593
v_subj(HC.neutral).208            1.102326  0.626092   0.367317   0.70278  0.931763  1.319737   2.951636  0.030713
v_subj(HC.neutral).212            0.663805  1.015422   -0.80944 -0.055782  0.380619  1.290343   3.023124  0.035056
v_subj(HC.neutral).213            0.778591  0.517741    0.13418  0.525011  0.696548  0.889194   2.403431  0.019456
v_subj(HC.neutral).214            1.354051  0.697387    0.55839  0.882101  1.115611   1.65349   3.145456  0.041109
v_subj(HC.neutral).215            2.329069  0.245372   1.847835   2.17101  2.330795  2.482075   2.828092  0.005661
v_subj(HC.neutral).216            1.038074  1.084806  -0.481024  0.241317  0.730381  1.685499   3.599493  0.049377
v_subj(HC.neutral).217            3.345643  0.298469    2.77475  3.138994   3.33289  3.549541   3.934039  0.007413
v_subj(HC.neutral).218            2.792597  0.390229   2.128231  2.508552  2.771138  3.038584    3.62818  0.016303
v_subj(HC.neutral).219            0.714942  0.661464  -0.033633  0.356065  0.533657  0.820936   2.646083  0.026474
v_subj(HC.neutral).221            2.222965  0.322794   1.621723  2.009671  2.207687  2.438752   2.918946  0.011878
v_subj(HC.neutral).223            2.368262  0.252246   1.879348  2.200236  2.364475  2.533662   2.885916  0.007637
v_subj(HC.neutral).225            2.114719  0.379569   1.467724   1.85511  2.090833  2.331618   2.978689  0.011973
v_subj(HC.neutral).226            2.024155  1.018305   0.622921  1.199855  1.866111   2.65356   4.348413  0.055584
v_subj(HC.neutral).227            0.923396  0.973938  -0.317706  0.241639  0.582726  1.485875    3.25593  0.039683
v_subj(HC.neutral).228            2.450526    0.3147   1.904293  2.235177  2.424822  2.639712   3.159951  0.010277
v_subj(HC.neutral).230            0.617293  1.038467  -0.999139 -0.074501  0.315634  1.200357   3.231357  0.038473
v_subj(HC.neutral).231            0.995277  0.912253  -0.303704  0.298513  0.806246  1.584083   3.065781  0.029945
v_subj(HC.neutral).232            2.332039  0.320319   1.782585  2.105926  2.301117  2.527451   3.059249   0.01293
v_subj(HC.neutral).233            2.043192  0.418475    1.40784     1.753  1.975713  2.262157    3.05651  0.017105
v_subj(HC.neutral).234            3.558483  0.763994    2.28522  3.013404  3.474223  4.056631   5.199739  0.033695
v_subj(HC.neutral).235            2.691902  0.757679    0.97893  2.233041  2.763936  3.215941   4.029906  0.041312
v_subj(HC.neutral).237            0.957522  1.255601  -0.755103  0.022907  0.625621  1.728678   3.852886  0.045365
v_subj(HC.neutral).238            0.800946  0.546188   0.165712  0.528659  0.700322  0.899786   2.602626  0.021239
v_subj(HC.neutral).239            2.803625  0.365061    2.18628  2.551681  2.766419  3.015076    3.65481  0.012514
v_subj(HC.neutral).240            1.203056  0.397082   0.665966  0.956664   1.13652  1.343201   2.293431  0.017532
v_subj(HC.neutral).241             1.44392  0.785522   0.264687  0.885178  1.314754  1.884188   3.284963  0.039027
v_subj(HC.neutral).242            3.367946  0.321959   2.786609  3.145912  3.355236  3.576548   4.071238  0.010644
v_subj(HC.neutral).243            2.389974  0.304274   1.836175  2.181628  2.368268  2.576999   3.043945  0.009104
v_subj(HC.neutral).244            2.362747  0.968175   0.894789  1.610405  2.280289  2.958282   4.504172  0.058601
v_subj(HC.neutral).246            1.445112  0.255869   1.013657  1.267442  1.431527  1.584583   2.038179  0.009091
v_subj(HC.neutral).247            2.275368  0.264785   1.752297  2.097988  2.273936  2.451367    2.78055  0.006512
v_subj(HC.neutral).248            2.143485  0.318089   1.551656  1.926228  2.128835  2.342221    2.80979  0.010077
v_subj(HC.neutral).249            2.301099  0.239081   1.848001  2.131808  2.300068   2.45654   2.783462  0.006104
v_subj(HC.neutral).250            2.492753  0.969562   0.649913  1.809376  2.457986  3.132233   4.422397  0.038697
v_subj(HC.neutral).252              2.9263  0.758133   1.408104  2.451389   2.91939  3.433413   4.381202  0.024957
v_subj(HC.neutral).253            3.165338  0.450872   2.350296  2.847347  3.133129  3.445273   4.094211  0.014874
v_subj(HC.neutral).254            1.124562  1.122994  -0.405571   0.21917  0.916531  1.860667   3.700736  0.039363
v_subj(HC.neutral).255            1.130814  0.538427   0.540617  0.845178  1.033036   1.26697   2.743664  0.033877
v_subj(HC.neutral).256            3.351003  0.685105   2.158987  2.869146  3.301739  3.777111   4.858434  0.032384
v_subj(HC.neutral).257            1.585458  0.584623   0.769849   1.18466  1.472689  1.854073   3.111337  0.026712
v_subj(HC.neutral).258            3.295463  0.348304   2.637677  3.053647  3.293483  3.522082   4.014909  0.011952
v_subj(HC.neutral).259            0.435197  0.684733  -0.687529  0.096162  0.316526  0.617417   2.253127  0.019049
v_subj(HC.neutral).260            1.091132  1.095941  -0.489922  0.213281  0.908831  1.824204   3.429861  0.042692
v_subj(HC.neutral).261            1.362326  0.621238   0.565497  0.950791  1.228906  1.609613   3.080242  0.026733
v_subj(HC.neutral).262            3.339891  0.845557   1.807355  2.760955  3.301964  3.895382    5.10114  0.031194
v_subj(HC.neutral).263            0.904331  0.368321   0.419483  0.669048  0.833553   1.04709   1.916049  0.016686
v_subj(HC.neutral).264            3.006171   0.32422   2.389285  2.795431   2.99475  3.208758   3.679935  0.010656
v_subj(HC.neutral).265            1.771049  0.365091   1.164015  1.532272  1.734512  1.972293   2.550342  0.016012
v_subj(HC.neutral).267            4.236124  0.355064   3.585223  3.992143  4.238165  4.479061   4.917762   0.01003
v_subj(HC.neutral).268            1.127284  0.855243   0.180631  0.547943  0.820909  1.537885   3.375494  0.040949
v_subj(HC.neutral).269            0.713737  0.420889   0.241352  0.502535   0.64644  0.799086   1.940678  0.017697
v_subj(HC.neutral).270            0.472292  1.132793  -1.032818 -0.265757  0.097126  1.066508   3.379017  0.048312
v_subj(HC.neutral).271            0.018084  0.934457  -1.066961 -0.552993 -0.314029  0.264859   2.527362  0.048262
v_subj(HC.neutral).273            1.753717  0.344857   1.176284  1.505039  1.717591  1.955744   2.557442  0.012282
v_subj(HC.neutral).275            1.970901  0.401889   1.410699  1.699022  1.895104  2.151501   3.036132  0.019262
v_subj(HC.neutral).276            0.875585  0.847064  -0.392911    0.3137  0.668554  1.322839   3.078475  0.026997
v_subj(HC.neutral).277            1.427754  1.033873    0.07138  0.525612  1.264803  2.117881    3.79939  0.054893
v_subj(HC.neutral).278            0.372476  0.850614  -0.628468 -0.232166   0.02335  0.927889    2.43161  0.035389
v_subj(HC.neutral).279            1.360671  1.076454  -0.265613  0.508043  1.245608  2.070637    3.72336  0.035198
v_subj(HC.neutral).282            2.608453  0.346075    1.94339  2.377249  2.605658  2.829646   3.314673  0.010574
v_subj(HC.neutral).283            3.627794    0.3228   2.983452  3.413579  3.626968  3.839107   4.253428  0.007269
v_subj(HC.neutral).284            3.267434  0.681809   2.032917  2.777406   3.23784  3.700408   4.721729  0.029182
v_subj(HC.neutral).285            0.754637  0.220258   0.366497  0.608027  0.743905  0.880889   1.193506  0.006081
v_subj(HC.neutral).288            2.323074  0.343739   1.701057  2.090663  2.296308  2.539399   3.038879   0.01238
v_subj(HC.neutral).289            2.200526   0.69147   1.125653  1.690694  2.111673    2.6008   3.791897  0.034004
v_subj(HC.neutral).290            3.049757   0.29905   2.480981  2.848434  3.043732  3.243656   3.643705  0.009019
v_subj(HC.neutral).291            2.181078  0.408556   1.518607  1.879993   2.13663  2.425946    3.07348  0.016882
v_subj(HC.neutral).292            1.495641  0.329322   1.029773   1.29245  1.455685  1.647132   2.163791  0.013738
v_subj(HC.neutral).296            2.678379  0.305978    2.12801  2.464665  2.670301  2.869877   3.322952  0.008661
v_subj(HC.neutral).297            1.421078  0.367834   0.850321   1.16279  1.362127  1.632237    2.22557  0.015891
v_subj(HC.neutral).298            0.877113  0.602261   0.172084  0.451487  0.676202  1.189109   2.341842  0.029296
v_subj(HC.neutral).299            1.491841  1.219606   0.312193  0.591727  0.926343  2.227567   4.489001  0.086027
v_subj(HC.neutral).300            0.798046  0.987065  -0.706096   0.05483  0.673351  1.395302   3.049727  0.037627
v_subj(HC.neutral).301            1.098292  0.227643   0.714247  0.950612  1.073872  1.220569   1.605787  0.008544
v_subj(HC.neutral).302            0.533728  0.907568  -0.920165 -0.057116  0.269929  1.022956   2.757561  0.031954
v_subj(HC.neutral).303            0.751893  1.135548  -0.768363 -0.035806  0.333997  1.444578    3.58158  0.040943
v_subj(HC.neutral).304            1.452154  0.631277   0.618678  0.971914  1.309998  1.816843   2.924644  0.039539
v_subj(HC.neutral).305            0.849855  0.522101   0.359459   0.57702  0.706389  0.886671   2.487297  0.028509
v_subj(HC.neutral).306            1.725056  0.194961   1.354925  1.587589   1.72468  1.858843   2.124126  0.004759
v_subj(HC.neutral).307            1.651131  0.317539   1.106987  1.431515  1.625683  1.843282   2.348675  0.010322
v_subj(HC.neutral).308            0.835371  0.793098  -0.187901  0.265491  0.627951  1.242165   2.787603   0.03041
v_subj(HC.neutral).309            2.575519  0.576315   1.653406   2.16409  2.510762  2.930948   3.921878  0.026866
v_subj(HC.neutral).310            1.967612  0.274384   1.455326  1.785013  1.963075  2.144326   2.539011  0.008988
v_subj(HC.neutral).311            1.265636  1.062641   0.008816  0.470058    0.8776  1.921587   3.818481  0.050711
v_subj(RI.food).66               -0.011498  0.980369  -1.560119 -0.484996 -0.195207  0.154369   2.571259  0.045363
v_subj(RI.food).68                 1.15378  0.615522   0.412117  0.751344   0.99172  1.386177   2.859423  0.029937
v_subj(RI.food).71                2.618413  0.381875   1.972229   2.35201  2.575107  2.857462   3.482236  0.014367
v_subj(RI.food).84                2.665869  0.928714   0.607756   2.12189  2.678756  3.246523   4.414668  0.039114
v_subj(RI.food).87                1.851974  1.019711   0.381434  1.039816   1.72283  2.493844    4.12655  0.052634
v_subj(RI.food).92                3.744504  0.520458   2.803283  3.375125  3.733127  4.079628   4.830759  0.018454
v_subj(RI.food).96                1.925341  0.840819   0.797891  1.360242  1.730074  2.274395   4.171799  0.043931
v_subj(RI.food).102               2.771677   0.27881   2.248403   2.58401  2.771581  2.947087   3.355584  0.007862
v_subj(RI.food).117               1.309156  0.430181   0.688158  1.030702  1.249424  1.503542   2.256229  0.023517
v_subj(RI.food).119               0.881272    0.2363   0.469702  0.738622  0.868982  1.000603   1.310977  0.007385
v_subj(RI.food).127               1.017104  0.469952   0.362047  0.715825   0.91666   1.21826   2.195093  0.017997
v_subj(RI.food).153               1.163838  1.092266  -0.582908  0.324135  1.036196  1.896086   3.577518   0.03203
v_subj(RI.food).157               1.806172  0.481482   1.069776  1.467608  1.746257   2.04956    2.98565  0.021635
v_subj(RI.food).162               2.057704  0.324501   1.558029  1.828422  2.012728  2.230273   2.863033  0.013308
v_subj(RI.food).164               1.052089  0.381061   0.614108  0.844395  0.982259  1.142502   2.162692   0.02093
v_subj(RI.food).166               1.900986  0.753268    0.97221  1.362167  1.714171  2.268842   3.851057  0.052623
v_subj(RI.food).176                1.01353  0.888095  -0.226784  0.414704  0.789688    1.4699    3.24466  0.033785
v_subj(RI.food).179               0.999781  0.526378   0.464824  0.691591   0.84668  1.085751   2.581201  0.033347
v_subj(RI.food).193               1.230031    0.9371   0.030315  0.500098  0.967235   1.84797   3.362858  0.044719
v_subj(RI.food).209               3.082866  0.844794   1.625035  2.456414  3.043506  3.637839   4.910238  0.045641
v_subj(RI.food).211               1.348836  0.227976   0.979823  1.201128  1.331775  1.473097   1.800894  0.009395
v_subj(RI.food).224               1.030203  0.152771     0.7345  0.931305  1.029666  1.126199   1.343459  0.003323
v_subj(RI.food).229               1.297971  0.743038   0.453288  0.787794  1.060117  1.624031   3.258305  0.043065
v_subj(RI.food).245               2.143895  0.616725   1.087556  1.723637  2.075449  2.526948   3.522099  0.031277
v_subj(RI.food).280               2.407393  0.674537   1.461276  1.922645  2.273088  2.784066   4.017448  0.043817
v_subj(RI.food).287               1.970369  0.377744   1.327298  1.704623  1.945409  2.198526   2.814878    0.0161
v_subj(RI.neutral).66             0.611109  0.810982   -0.46741  0.056133  0.445227  0.966571   2.739679  0.031448
v_subj(RI.neutral).68             3.130325  0.334385    2.50353  2.898247  3.124486  3.353042   3.792131  0.010145
v_subj(RI.neutral).71             3.350421  0.643741   2.224874  2.901356  3.298679  3.734219   4.742835  0.023993
v_subj(RI.neutral).87             1.878247   1.15248  -0.109044   0.97511  1.857444  2.656928   4.233072  0.041552
v_subj(RI.neutral).92             1.550425  1.284335  -0.252026  0.454068    1.3771  2.422654   4.377747   0.05259
v_subj(RI.neutral).96             1.331049  1.242508  -0.309983  0.443462  0.928144   2.09862   4.243122  0.049378
v_subj(RI.neutral).102            2.500561   0.80379   1.537766  1.925491  2.220426  2.935556   4.487821  0.054422
v_subj(RI.neutral).117            1.160684   0.21326   0.768702  1.012718  1.149508  1.292305   1.607646  0.005863
v_subj(RI.neutral).127            1.357776  0.514636    0.60591  0.981445  1.260946  1.646312   2.587502   0.02386
v_subj(RI.neutral).153            1.676754  1.194957   0.061589  0.680143  1.510475  2.432568   4.232728  0.051182
v_subj(RI.neutral).166            3.027093  0.657267   1.978625  2.561839  2.946438  3.420465   4.483345  0.032977
v_subj(RI.neutral).176            3.031576  0.315463   2.442902  2.809612   3.03214  3.216758   3.691503  0.008928
v_subj(RI.neutral).179            1.113127  0.649735   0.370466   0.65697   0.85914  1.458446   2.698738  0.036366
v_subj(RI.neutral).193            3.784768  0.384055   3.124459  3.519776  3.752792  4.011162   4.623181  0.015505
v_subj(RI.neutral).209            2.934626  0.596579   2.051493  2.528423  2.831857  3.245157   4.344699  0.033344
v_subj(RI.neutral).211            1.519093  0.667517   0.898917  1.160259  1.318584  1.561404   3.719029  0.052067
v_subj(RI.neutral).224            1.891827  0.204024   1.507442  1.747703  1.896538  2.029801    2.30379   0.00574
v_subj(RI.neutral).229            1.535899  1.059836   0.110838  0.672382  1.351514  2.231662   3.860097  0.047766
v_subj(RI.neutral).245            3.700419  0.478564   2.801895  3.376778  3.684904  4.002016    4.68846  0.018653
v_subj(RI.neutral).280            3.648333  0.625616   2.604266  3.223065  3.614771  4.017997   5.074806  0.031661
v_subj(RI.neutral).287            1.557145  0.219741   1.157757  1.408341  1.546994  1.699454   2.003785  0.006557
t_subj(AN.food).1                 0.089586  0.010822   0.066896  0.082483   0.09026  0.097164   0.108423  0.000367
t_subj(AN.food).6                  0.21236  0.017772   0.165187  0.207564  0.217201  0.223973   0.234838   0.00098
t_subj(AN.food).7                 0.155966  0.013789    0.12626  0.147455   0.15675  0.165554    0.18002  0.000373
t_subj(AN.food).9                   0.1169   0.00796   0.100429   0.11181  0.117419  0.122534    0.13053  0.000246
t_subj(AN.food).10                 0.09861  0.014858   0.069715  0.088552  0.099225  0.109147   0.126305  0.000474
t_subj(AN.food).11                0.304689   0.01122   0.281468  0.297739  0.304993  0.311831   0.325625  0.000341
t_subj(AN.food).12                0.088961  0.010667   0.065275  0.082433  0.089672  0.096779   0.107783  0.000364
t_subj(AN.food).13                0.128097  0.004344   0.118484  0.125453  0.128372  0.131171    0.13558  0.000127
t_subj(AN.food).14                0.604442  0.011663   0.580917   0.59736  0.604578  0.611629   0.629156    0.0004
t_subj(AN.food).19                0.248964  0.016773   0.215098  0.237938  0.249401  0.260362   0.281343  0.000427
t_subj(AN.food).20                0.235676    0.0103   0.214057  0.229252  0.235937   0.24276    0.25559  0.000301
t_subj(AN.food).21                0.215338  0.017997   0.188131  0.202965  0.210514   0.22599   0.252599  0.000759
t_subj(AN.food).24                0.232304  0.006955   0.217195  0.228084  0.232966  0.236974   0.244936  0.000239
t_subj(AN.food).25                 0.41449  0.011607   0.394743  0.406985  0.413292  0.420128   0.448051  0.000466
t_subj(AN.food).26                0.223382  0.009031   0.202678  0.218248  0.224301  0.229614   0.238671  0.000309
t_subj(AN.food).28                0.224362  0.016641   0.188865  0.214043  0.225529  0.236339   0.253323   0.00052
t_subj(AN.food).30                0.102168  0.009733   0.080775  0.095948   0.10285  0.109178   0.119352  0.000376
t_subj(AN.food).31                0.233741  0.020052   0.189556  0.223087  0.235936  0.246301   0.270884  0.000683
t_subj(AN.food).32                0.135678   0.00965   0.116543  0.129465  0.136298  0.142326   0.152604   0.00028
t_subj(AN.food).34                 0.22133  0.018255   0.184677  0.207422  0.222176  0.235841    0.25083  0.000596
t_subj(AN.food).35                0.185193  0.022789   0.154357  0.168601  0.177148  0.204725   0.230006  0.001295
t_subj(AN.food).36                0.080743  0.011347   0.057078  0.073455  0.081276  0.088455   0.102062  0.000312
t_subj(AN.food).37                0.128251  0.011153   0.104092  0.121481  0.129152  0.136396   0.147249  0.000323
t_subj(AN.food).38                0.165982  0.015822   0.132793  0.155535  0.167076   0.17735   0.194152  0.000503
t_subj(AN.food).40                0.157811  0.016754   0.122035  0.148188  0.159979  0.169553   0.186911  0.000627
t_subj(AN.food).41                0.101771  0.007891   0.084777  0.097018  0.102522   0.10723   0.115427  0.000358
